Unnamed: 0,average_length(inches)),average_weight(ounces)),ph_of_water,life_span,idlewater,lakes,ponds,rivers,slowmovingwaters,Black_and_Orange,Calico,Green_and_Chocolate,Orange,Red_and_Silver,Red_and_White_Bi_Color,Reddish_Orange,White,Yellow,Female,Male
402,16.01,5.19,6.1,7.3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1714,5.21,18.15,7.3,22.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1566,1.0,17.38,6.3,17.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1573,3.46,16.42,7.4,14.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1618,18.13,6.58,7.6,10.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1519,3.03,5.16,7.2,3.6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,6.01,10.62,7.8,19.2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1774,1.0,18.25,6.9,17.5,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
260,16.52,18.96,7.8,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1760,5.57,15.13,6.5,6.7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
347,11.37,15.11,6.5,6.1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1716,6.89,14.68,6.7,19.8,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1134,18.32,18.44,6.4,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
249,2.76,14.19,6.1,17.3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
446,16.17,10.55,7.0,20.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
860,17.47,4.73,7.8,18.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1473,5.59,16.05,6.8,12.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1271,15.68,18.96,6.3,4.3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
1477,16.29,4.96,6.2,5.9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
398,12.8,15.3,6.3,26.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1576,1.05,17.83,6.1,14.6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1038,3.9,11.32,7.9,23.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1762,1.26,11.26,6.6,26.2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
983,17.78,17.52,7.1,6.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1461,6.0,18.96,6.3,26.1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1541,9.33,14.74,7.4,22.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1864,5.79,14.68,6.2,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1935,1.02,12.76,7.7,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1169,10.02,6.7,6.3,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1599,17.18,12.29,6.7,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1270,16.48,12.79,6.5,4.3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1424,3.21,17.68,6.0,6.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
378,16.46,18.84,6.0,2.6,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1
894,9.14,18.01,7.8,13.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
802,12.0,15.38,6.1,6.3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
1034,14.02,17.02,7.0,18.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1366,13.0,18.71,6.2,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1140,15.96,13.13,6.1,17.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1343,16.32,18.15,6.7,28.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1742,9.98,17.54,6.3,11.1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
885,9.99,10.34,7.8,17.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
573,17.34,3.17,6.5,27.3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
692,8.85,18.96,7.3,15.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
847,15.88,17.17,6.7,24.9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1343,12.14,11.33,6.8,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
914,16.92,18.96,7.2,26.7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1515,12.15,15.41,6.2,14.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
721,15.12,14.72,6.3,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1463,3.6,10.9,7.2,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1686,13.01,15.17,7.6,19.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1676,5.17,10.98,7.4,8.9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1488,5.93,12.86,6.3,12.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1005,16.61,17.74,7.1,26.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
798,1.76,17.79,7.3,17.4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1138,7.94,16.36,6.4,28.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1477,16.36,14.09,7.8,11.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
1386,15.35,6.26,6.4,23.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1596,7.38,9.12,7.6,7.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1827,17.69,9.96,6.5,23.5,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
1603,6.87,4.54,6.5,13.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
825,1.0,14.19,7.2,5.2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
474,4.92,12.57,7.3,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1738,5.35,16.7,6.5,25.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
228,14.21,4.05,6.1,6.6,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1602,16.87,9.38,6.3,13.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1419,16.98,14.33,7.1,14.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1011,12.34,13.27,7.7,3.6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
477,3.55,18.96,6.9,26.6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
831,15.94,16.24,7.2,6.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
842,17.56,16.83,7.0,8.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
745,12.48,12.95,6.5,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
961,10.65,15.86,7.8,11.3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
1591,16.79,11.42,6.9,7.7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
761,1.0,14.68,7.0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1113,13.37,18.96,6.1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
651,11.31,6.52,7.2,24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
236,16.75,13.42,7.7,26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
822,11.16,11.35,6.5,10.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
998,15.93,9.28,7.6,28.0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
600,10.97,12.02,6.4,4.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
1482,13.15,5.7,6.1,26.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1850,1.0,6.64,6.0,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
422,12.0,17.92,6.5,11.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1413,17.65,4.52,7.2,23.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1195,6.32,6.35,7.3,14.4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1248,15.68,12.74,6.0,23.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
398,12.55,11.88,7.4,15.9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1677,15.99,12.62,7.6,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1251,16.71,7.78,7.3,4.7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1438,2.87,9.92,7.2,21.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
682,16.84,17.25,7.4,14.3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
424,15.04,10.9,6.6,16.4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1118,16.78,13.87,6.2,17.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1633,5.1,17.82,6.2,6.4,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
1812,12.2,12.1,6.5,20.6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
232,12.17,17.55,6.4,18.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1072,16.89,11.81,6.3,16.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
353,10.81,12.99,6.5,17.4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
1447,17.01,13.84,6.2,13.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
720,16.25,10.65,7.0,11.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
978,14.29,5.29,7.6,25.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1266,12.96,18.96,7.5,15.1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
713,4.65,17.91,6.3,12.4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
351,6.3,8.18,6.1,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1242,12.0,5.52,7.1,18.3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
867,17.23,3.34,7.5,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1773,10.35,12.91,7.0,4.9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1122,19.32,17.77,7.0,23.7,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
1302,4.0,17.11,6.5,13.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
1997,8.11,12.79,6.0,22.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
294,2.92,17.46,6.6,5.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1830,1.81,17.93,6.2,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
995,17.73,17.96,7.8,5.6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
1689,17.69,18.66,7.0,26.3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
586,10.09,14.05,6.5,26.2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1999,11.3,11.72,7.6,26.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1357,6.18,11.47,6.1,11.4,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1
699,16.0,18.72,6.6,25.5,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0
171,6.18,17.94,7.7,8.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1999,6.59,3.85,6.4,15.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1334,16.0,12.32,6.2,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
303,1.92,18.96,6.2,20.5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
409,16.75,13.75,7.9,25.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
212,12.08,18.96,6.1,25.3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1114,10.32,14.06,7.1,8.8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
357,3.09,5.57,6.2,18.7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1714,13.46,10.3,6.2,4.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
308,5.46,17.98,6.8,12.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
416,14.2,18.96,6.2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1772,16.12,11.93,6.5,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1520,16.22,15.94,6.2,18.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
969,5.61,11.99,6.8,11.7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
777,6.45,16.93,7.6,27.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
1795,13.71,6.12,7.0,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1420,7.15,4.86,7.7,15.3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
902,14.89,16.19,7.2,21.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1287,14.47,18.66,7.1,15.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1687,17.11,12.89,7.5,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1103,16.9,18.96,6.2,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
649,12.37,11.77,6.9,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1082,5.78,5.31,6.3,12.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
1708,17.32,11.86,6.4,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
778,17.4,9.19,7.2,3.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1650,4.09,11.7,7.6,6.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1573,15.94,17.57,6.5,15.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
542,14.86,5.09,7.0,10.4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1425,8.0,18.82,7.2,3.9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
759,16.48,14.84,6.9,11.5,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
1933,10.81,5.54,7.8,15.7,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1981,8.57,10.25,6.4,27.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1523,6.32,5.89,6.2,21.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
847,2.96,18.59,6.0,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1667,9.9,13.59,6.4,2.4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1903,1.0,17.61,6.4,12.7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
294,12.4,18.02,6.9,28.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
1128,9.42,14.67,6.4,15.3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1119,12.42,5.65,6.1,4.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1496,13.86,17.48,6.0,6.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
703,2.5,12.13,7.3,23.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
915,16.6,16.49,6.2,24.7,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
736,17.18,8.4,6.7,11.7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
1021,6.01,9.53,6.1,9.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
773,4.9,4.96,7.5,22.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
401,7.25,12.16,6.3,3.8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
642,12.05,5.72,6.6,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
